;Model_name;RMSE;MAPE;MAE;STD_RMSE;STD_MAPE;STD_MAE;n_estimators;eta;max_depth;subsample;colsample_bytree;min_child_weight
0;xgb_regressor;1867.2409688532673;0.18166177358841712;1341.1368619849538;599.7348875675311;0.03804885863212251;429.4402902144624;3500;0.01;10;0.7;0.3;3
0;xgb_regressor;1846.8406376277828;0.18330749593890466;1340.3530498832033;594.8367935051443;0.04799354953909212;435.1502253189453;2500;0.03;10;0.5;0.9;15
0;xgb_regressor;1805.3119707393132;0.17864273632584418;1308.4014191844446;597.8618881181284;0.043611337854455104;433.14548907186247;3500;0.01;10;0.7;0.9;15
0;xgb_regressor;1782.505226560983;0.17508449764684436;1288.02819711558;608.7283046828127;0.03951699457223189;434.88997104626634;2500;0.01;10;0.5;0.7;3
0;xgb_regressor;1928.3431816000461;0.1919795868392793;1398.1036638960845;586.6947930497348;0.04951116952251224;432.42698490931195;3500;0.03;15;0.5;0.7;15
0;xgb_regressor;2405.314103401955;0.22928399103110256;1693.1902420568065;595.4949805345865;0.026512550770266905;403.187075384857;1000;0.03;5;0.7;0.3;15
0;xgb_regressor;1819.2897317096497;0.18096440143165707;1321.865061134608;596.4267078729522;0.04466283924680744;430.4738669828962;2500;0.01;15;0.2;0.9;15
0;xgb_regressor;1806.5879708729713;0.17751303622714099;1304.3123642078099;611.1836684670594;0.041179295962553986;437.55973976878664;1000;0.01;15;0.7;0.7;15
0;xgb_regressor;1819.2897317096497;0.18096440143165707;1321.865061134608;596.4267078729522;0.04466283924680744;430.4738669828962;2500;0.01;15;0.2;0.9;3
0;xgb_regressor;2160.0376674357194;0.20784494425244246;1534.2497965732352;571.6667936596854;0.041037173787189046;412.00918820163906;2500;0.03;5;0.7;0.3;3
0;xgb_regressor;2389.496186710072;0.22726862474609452;1681.864291022377;590.8425426284697;0.024644236270617726;401.64539472656037;1000;0.03;5;0.2;0.3;15
0;xgb_regressor;1884.379241939494;0.18663255757983663;1364.7437519202601;597.1382765906462;0.050174234491835744;440.08346460410127;3500;0.03;10;0.2;0.3;8
0;xgb_regressor;1883.9611135539285;0.18739847921269315;1365.8674024781365;594.9179368562556;0.048819117846935246;437.8912098002312;1000;0.03;15;0.7;0.9;3
0;xgb_regressor;2343.7385205208625;0.22285169228493712;1650.2487205171674;590.7583324477065;0.025796489476252776;403.34545744193025;3500;0.01;5;0.7;0.3;15
0;xgb_regressor;1912.4926251791906;0.182377954812133;1357.8982003623864;642.4188263330166;0.03343767646687535;456.75835560955574;1000;0.01;15;0.7;0.3;15
